,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
0,571144_fnca,0.012443336520573584,0.09807486592637273,-41.11875274896061,0.010036696598320736,0.9999999999999042,-42.44604295586114,Procedural,1.3272902069005283
1,177241_fnca,0.010036716909390326,0.9999999996656017,-44.40614838525049,1.3088676001166062,0.9999999999999147,-38.872221950898115,Declarative,-5.533926434352374
2,872764_fnca,0.01179264412359348,0.10114771885586613,-42.77485096725335,0.27118758599933096,0.9999999999999206,-45.17852021423366,Procedural,2.403669246980307
3,194140_fnca,0.7839340584828529,0.9999999996986961,-41.35312122049171,0.6852295747692815,0.999997797960902,-42.56550102341304,Procedural,1.2123798029213333
4,885975_fnca,0.01000000000364807,0.03399701735789038,-34.51578400668724,0.01000000122614759,0.7252592572036126,-38.15616434122093,Procedural,3.6403803345336883
5,969476_fnca,0.010000001894719019,0.13401454296845605,-44.22303866316122,0.010000000907326093,0.9999950503878203,-43.971515112461454,Declarative,-0.2515235506997655
6,137633_fnca,0.6744711115025819,0.4912804272712008,-32.4616743905118,0.01004003139952007,0.9999999984258057,-40.99773615635972,Procedural,8.536061765847919
7,208125_fnca,0.5148966044628334,0.9999999999999112,-41.642370331457606,0.7817900528773005,0.9999999999998401,-42.240219147181925,Procedural,0.5978488157243191
8,196346_fnca,0.9033096546268213,0.5736985794868364,-35.59336798122695,0.7345624462309438,0.5755179464772988,-39.54499452757887,Procedural,3.9516265463519247
9,468050_fnca,0.01004132155936407,0.9999999995192231,-43.72902145677333,0.010006732921602252,0.9999999989932149,-44.10393352513599,Procedural,0.37491206836266144
10,176542_fnca,0.010042539779231011,0.9999999993808116,-44.38494801348264,0.010007688186330202,0.9999999998833061,-45.01450665597792,Procedural,0.6295586424952759
11,151324_fnca,0.6405122760825733,0.7048108821837609,-38.99443522282886,0.7787558057152053,0.8324598583591185,-39.08005295251493,Procedural,0.08561772968607073
12,136833_fnca,0.010040668275843804,0.99999999924638,-43.79758844399829,0.11694197709597874,0.9999999999998933,-47.85206585931451,Procedural,4.054477415316214
13,210112_fnca,0.01000000537476928,0.097455986296103,-43.27395318636139,0.010030224897273806,0.9999999983657349,-44.0453676917089,Procedural,0.7714145053475079
14,151627_fnca,0.010044765589652631,0.9999999999093204,-43.686513076678935,0.010005333787143716,0.9999999991796812,-44.413083919191216,Procedural,0.726570842512281
15,677968_fnca,0.010040762949692661,0.9999999996848455,-44.39154852844135,0.010002356282525198,0.9999999984389027,-44.906612504807605,Procedural,0.5150639763662568
16,136126_fnca,0.010040501418558109,0.999999999251192,-43.670715934151396,0.8128971659692643,0.9999999999999281,-43.729000903655844,Procedural,0.058284969504448725
17,314225_fnca,0.5484033131497253,0.3894272078564138,-33.273863225240916,1.0310862705205368,0.9735426646804157,-38.78927910401791,Procedural,5.515415878776992
18,849971_fnca,0.010046075339460647,0.999999999190552,-43.75797697439471,0.010029198243669154,0.9999999996808588,-47.266210515030615,Procedural,3.5082335406359064
19,753251_fnca,0.010044506571189622,0.9999999999646996,-44.37820766338182,0.01003386839668441,0.999999999141694,-44.80448760958197,Procedural,0.42627994620014675
20,734045_fnca,0.01004071579954378,0.9999999995229697,-43.789051983255355,0.010034248784011164,0.9999999996840075,-47.70285520500691,Procedural,3.9138032217515573
21,233326_fnca,0.010040593964479842,0.9999999995203652,-44.533895620297116,0.010018022289831011,0.9999999996792192,-49.44582548241063,Procedural,4.911929862113517
22,118023_fnca,0.017241575710540708,0.08337647696660058,-41.58636785654414,0.7271774834579239,0.9999999999998713,-42.87478174063777,Procedural,1.2884138840936288
23,165840_fnca,0.010000001517765993,0.1782477703715078,-44.165085516808546,0.010024609282028921,0.9999999998665747,-45.467777292963675,Procedural,1.3026917761551289
24,123723_fnca,0.31096200541514185,0.9999408297893219,-43.64585806317839,0.010003651955713105,0.9999999984630564,-45.07751260925203,Procedural,1.431654546073645
25,248238_fnca,0.010040611167519836,0.9999999988998659,-44.4958732229009,0.010031886075194845,0.9999999999999175,-48.64491743913756,Procedural,4.1490442162366605
26,871762_fnca,0.01000000255020325,0.5381581416230031,-44.329315939415125,0.010026366165678079,0.9999999998835617,-45.5825365521692,Procedural,1.2532206127540775
27,792867_fnca,0.010040754391975349,0.9999999994842734,-44.42742835539186,0.010029356876968876,0.9999999998796105,-47.595978353346716,Procedural,3.1685499979548553
28,194443_fnca,0.011112092574766561,0.13123915177079828,-44.2680474175454,0.010020862489151416,0.9999999984020735,-44.78018543146176,Procedural,0.5121380139163634
29,149539_fnca,0.010041451657683602,0.9999999990245371,-44.39917388051562,0.01002572019188011,0.9999999998804048,-46.260618998567146,Procedural,1.8614451180515275
30,119833_fnca,0.01000000213324411,0.6969252445919883,-44.34741001213228,0.010019990797026992,0.9999999999502666,-45.673970915185926,Procedural,1.3265609030536467
31,114217_fnca,0.011953374965722895,0.10273254469516613,-43.55680468694005,0.4106290925773782,0.9999999999999402,-44.29463090196704,Procedural,0.7378262150269919
32,910241_fnca,0.010041034482479838,0.999999999014334,-44.38333544306677,0.010025968424432328,0.9999999999524012,-46.33377477967159,Procedural,1.9504393366048234
33,124422_fnca,0.010588802325685286,0.28300541673121465,-43.64084245664811,0.010000764273650072,0.9999999983307587,-43.76526841855467,Procedural,0.12442596190656019
34,395958_fnca,0.01004102910632681,0.9999999995026252,-44.40923188190053,0.010048459314143127,0.999999998417897,-45.330791104899966,Procedural,0.9215592229994343
35,766563_fnca,1.0237812404640116,0.9999751065903492,-50.063380782129485,0.01002283955428941,0.9999999999938689,-45.62456951658799,Declarative,-4.438811265541496
36,137936_fnca,0.659141262377488,0.9999999996920707,-41.72787970209854,0.7770941980514711,0.9999999999998535,-41.95434692022081,Procedural,0.22646721812226644
37,101107_fnca,0.010118797975383445,0.30799473429344604,-43.56453258759182,0.01003144793845373,0.9999999984761593,-45.15416183358659,Procedural,1.5896292459947716
38,185442_fnca,0.010000002208341394,0.2735160818293477,-44.29781471446932,0.010012895781906546,0.9999999999956568,-46.3739134285408,Procedural,2.0760987140714846
39,194746_fnca,0.4512235095864735,0.5445932762979083,-37.637123979017375,0.010034849735995294,0.9999999999346016,-45.881021091181516,Procedural,8.243897112164142
40,174841_fnca,0.010040272003015785,0.9999999995794737,-44.67694294776635,0.010025108041994664,0.9999999999064582,-54.01658735203522,Procedural,9.339644404268874
41,141826_fnca,0.01000000218772207,0.7777392526612125,-43.6641107364249,0.010001723504507159,0.9999999984219847,-44.166174572740736,Procedural,0.5020638363158341
42,316633_fnca,0.6214130098421743,0.7648128068443989,-38.428485437857475,0.82819465789183,0.9999999999999087,-43.85316856791137,Procedural,5.424683130053893
43,905147_fnca,0.010051861461395686,0.999999999317107,-41.78475316713171,0.010007076075983808,0.9999999995057085,-50.70693362829702,Procedural,8.922180461165311
44,592455_fnca,0.010041344355173612,0.999999999508364,-43.706704489866866,0.010030565970420248,0.9999999995307594,-45.90415279816046,Procedural,2.1974483082935947
45,153732_fnca,0.18194129650733357,0.847484038426085,-41.73531630001881,0.4853854023679523,0.9999999999998309,-42.45222816654694,Procedural,0.7169118665281289
46,115017_fnca,0.010692277544604015,0.09190051395458733,-43.404632383953206,0.010000917349807657,0.9999999983307587,-44.06479840166434,Procedural,0.6601660177111341
47,186444_fnca,0.0100402582547244,0.9999999995182163,-44.52005267456941,0.010032680325242342,0.999999999878834,-48.05380729762164,Procedural,3.533754623052225
48,568963_fnca,0.010040399059956216,0.9999999995665474,-44.43154974190058,0.010026729855030775,0.9999999994291185,-45.901677080755846,Procedural,1.4701273388552636
49,523032_fnca,0.010044131943035639,0.9999999997131969,-44.37002527909851,0.010000075459598603,0.9999999984179104,-44.850535456171485,Procedural,0.48051017707297206
50,397861_fnca,0.010000002798463097,0.2435504138189238,-44.26407963345207,0.010018547068996363,0.999999999973808,-47.19893161515894,Procedural,2.9348519817068706
