Subject,NumRuns,Excluded,Reason,TotalTrials,RT_Outliers,RT_Outlier_Percentage
715647,2,False,,64,0,0.0
214726,2,False,,64,5,7.81
162935,2,True,Uniform responses (>80%),64,0,0.0
479762,2,False,,63,0,0.0
188448,2,False,,63,0,0.0
118730,2,False,,64,1,1.56
832651,2,False,,64,0,0.0
744553,2,False,,64,0,0.0
185947,2,False,,64,1,1.56
185442,2,False,,64,13,20.31
196851,2,False,,64,0,0.0
994273,2,False,,61,0,0.0
130417,2,False,,63,0,0.0
150524,2,False,,63,0,0.0
212116,2,False,,64,0,0.0
599469,2,False,,64,3,4.69
665254,2,False,,64,0,0.0
141826,2,False,,63,5,7.94
114116,2,False,,64,0,0.0
779370,2,False,,64,4,6.25
378857,2,False,,64,0,0.0
136227,2,False,,64,0,0.0
792867,2,False,,64,1,1.56
788876,2,False,,64,1,1.56
878776,2,False,,64,0,0.0
111211,2,False,,64,0,0.0
115219,2,False,,64,0,0.0
116524,2,False,,63,2,3.17
686969,2,False,,64,1,1.56
397861,2,False,,64,1,1.56
555348,2,False,,64,2,3.12
826454,2,False,,64,1,1.56
316633,2,False,,63,6,9.52
167036,2,False,,64,0,0.0
561444,2,False,,63,0,0.0
245333,2,False,,63,3,4.76
137128,2,False,,64,0,0.0
702133,2,False,,62,1,1.61
859671,2,False,,64,0,0.0
130316,2,False,,64,3,4.69
395958,2,False,,64,0,0.0
126325,2,False,,64,9,14.06
111514,2,False,,64,1,1.56
885975,2,False,,63,1,1.59
213017,2,False,,64,0,0.0
598568,2,False,,64,0,0.0
289555,2,False,,59,0,0.0
115017,2,False,,63,0,0.0
133625,2,False,,64,1,1.56
567052,2,False,,64,0,0.0
185846,2,False,,64,0,0.0
283543,2,True,Uniform responses (>80%),64,0,0.0
188549,2,False,,64,0,0.0
167238,2,False,,64,1,1.56
473952,2,False,,63,0,0.0
147030,2,True,Uniform responses (>80%),64,2,3.12
129634,2,False,,64,1,1.56
105115,2,False,,64,6,9.38
172433,2,False,,64,1,1.56
114318,2,False,,64,2,3.12
395756,2,False,,64,0,0.0
351938,2,False,,64,0,0.0
212318,2,False,,64,0,0.0
917255,2,False,,63,0,0.0
898176,2,False,,64,0,0.0
687163,2,False,,64,4,6.25
151324,2,False,,64,1,1.56
131217,2,False,,63,1,1.59
120414,2,False,,64,1,1.56
107422,2,True,Uniform responses (>80%),64,0,0.0
153934,2,False,,64,16,25.0
380036,2,False,,64,0,0.0
102109,2,False,,63,0,0.0
116221,2,False,,64,0,0.0
139839,2,False,,64,0,0.0
311320,2,False,,64,0,0.0
205725,2,False,,64,0,0.0
304020,2,False,,63,3,4.76
192237,2,False,,63,1,1.59
197550,2,False,,64,4,6.25
169949,2,False,,63,0,0.0
130619,2,False,,64,2,3.12
248238,2,False,,64,0,0.0
789373,2,False,,64,3,4.69
110411,2,False,,64,2,3.12
734045,2,False,,63,24,38.1
908860,2,False,,64,1,1.56
872764,2,False,,64,0,0.0
782561,2,False,,63,1,1.59
368551,2,False,,64,0,0.0
154229,2,False,,64,0,0.0
601127,2,False,,64,21,32.81
996782,2,False,,64,3,4.69
172332,2,False,,64,2,3.12
786569,2,False,,64,5,7.81
117324,2,False,,63,0,0.0
570243,2,False,,64,0,0.0
654350,2,False,,64,5,7.81
149741,2,False,,63,2,3.17
212419,2,False,,64,0,0.0
114419,2,False,,64,1,1.56
236130,2,False,,63,0,0.0
268850,2,False,,63,0,0.0
173536,2,False,,63,0,0.0
877168,2,False,,63,0,0.0
151425,2,False,,64,0,0.0
174841,2,False,,64,1,1.56
947668,2,False,,64,0,0.0
142828,2,False,,62,3,4.84
894067,2,False,,64,0,0.0
204218,2,False,,64,0,0.0
810439,2,False,,64,0,0.0
171633,2,False,,64,0,0.0
837964,2,False,,62,0,0.0
101309,2,False,,64,8,12.5
617748,2,False,,62,0,0.0
250427,2,False,,64,1,1.56
132017,2,False,,64,0,0.0
870861,2,False,,63,1,1.59
145834,2,False,,63,0,0.0
580751,2,False,,63,4,6.35
759869,2,False,,64,0,0.0
161731,2,False,,64,0,0.0
201414,2,False,,64,1,1.56
626648,2,False,,63,0,0.0
177140,2,False,,64,0,0.0
475855,2,False,,62,2,3.23
573249,2,False,,64,2,3.12
318637,2,False,,62,0,0.0
200210,2,False,,64,0,0.0
390645,2,False,,62,1,1.61
352738,2,False,,64,0,0.0
520228,2,False,,64,0,0.0
465852,2,False,,64,0,0.0
100408,2,False,,62,0,0.0
176744,2,False,,64,2,3.12
763557,2,False,,64,0,0.0
211619,2,False,,63,0,0.0
167743,2,False,,62,1,1.61
358144,2,False,,64,2,3.12
185038,2,False,,64,2,3.12
818455,2,False,,64,1,1.56
871964,2,False,,63,7,11.11
835657,2,False,,63,11,17.46
108323,2,False,,62,0,0.0
263436,2,False,,64,0,0.0
199251,2,False,,64,0,0.0
386250,2,False,,63,1,1.59
178950,2,False,,64,0,0.0
135528,2,False,,63,0,0.0
165436,2,False,,64,0,0.0
406836,2,False,,64,10,15.62
137633,2,False,,63,1,1.59
803240,2,True,Uniform responses (>80%),64,4,6.25
154936,2,False,,64,1,1.56
101006,2,False,,64,0,0.0
192843,2,False,,64,0,0.0
285345,2,False,,64,0,0.0
206525,2,False,,64,13,20.31
305830,2,False,,64,2,3.12
158338,2,False,,64,0,0.0
134627,2,False,,64,8,12.5
926862,2,False,,64,0,0.0
198855,2,True,Uniform responses (>80%),64,1,1.56
127731,2,False,,60,0,0.0
912447,2,False,,64,1,1.56
802844,2,False,,63,1,1.59
201515,2,False,,63,11,17.46
540436,2,False,,64,3,4.69
987074,2,False,,64,1,1.56
161630,2,False,,63,2,3.17
723141,2,True,Uniform responses (>80%),64,0,0.0
580650,2,False,,63,1,1.59
688569,2,False,,64,0,0.0
884064,2,False,,64,0,0.0
200311,2,False,,63,1,1.59
150019,2,False,,63,1,1.59
841349,2,False,,64,6,9.38
198350,2,False,,63,1,1.59
114621,2,True,Uniform responses (>80%),64,0,0.0
130821,2,False,,64,1,1.56
456346,2,False,,63,1,1.59
136732,2,False,,64,6,9.38
158136,2,False,,64,1,1.56
134829,2,False,,64,0,0.0
756055,2,False,,63,8,12.7
673455,2,False,,62,0,0.0
558657,2,False,,63,1,1.59
597869,2,False,,64,0,0.0
211417,2,False,,64,2,3.12
204319,2,False,,64,0,0.0
620434,2,False,,63,0,0.0
565452,2,False,,62,1,1.61
837560,2,False,,63,0,0.0
187143,2,False,,63,0,0.0
559053,2,False,,63,0,0.0
165638,2,False,,64,1,1.56
103818,2,False,,64,0,0.0
159239,2,False,,63,1,1.59
886674,2,True,Uniform responses (>80%),64,0,0.0
180735,2,False,,64,0,0.0
825654,2,False,,63,0,0.0
647858,2,False,,64,4,6.25
131924,2,False,,64,0,0.0
115724,2,False,,64,3,4.69
196144,2,False,,63,0,0.0
422632,2,False,,64,0,0.0
809252,2,False,,64,1,1.56
153025,2,False,,64,0,0.0
392750,2,False,,64,2,3.12
181131,2,False,,63,0,0.0
186848,2,False,,64,0,0.0
513736,2,False,,64,0,0.0
246133,2,False,,63,1,1.59
585256,2,False,,62,1,1.61
127630,2,False,,62,2,3.23
198451,2,False,,64,0,0.0
683256,2,False,,64,1,1.56
896879,2,False,,64,0,0.0
204016,2,False,,62,0,0.0
495255,2,False,,64,1,1.56
108222,2,False,,64,1,1.56
182840,2,False,,63,1,1.59
274542,2,False,,64,0,0.0
211316,2,False,,63,2,3.17
185139,2,False,,64,0,0.0
346137,2,False,,64,0,0.0
406432,2,False,,63,0,0.0
523032,2,False,,64,0,0.0
177645,2,False,,63,0,0.0
614439,2,False,,64,0,0.0
101107,2,False,,63,10,15.87
587664,2,False,,63,2,3.17
154532,2,False,,64,0,0.0
118225,2,False,,64,0,0.0
191033,2,False,,64,0,0.0
124624,2,True,Uniform responses (>80%),64,0,0.0
108121,2,False,,64,2,3.12
555651,2,False,,64,0,0.0
284646,2,False,,63,2,3.17
962058,2,False,,64,0,0.0
611938,2,False,,63,7,11.11
171330,2,False,,64,1,1.56
164030,2,False,,64,0,0.0
127933,2,False,,64,2,3.12
180836,2,False,,64,0,0.0
199958,2,False,,64,1,1.56
180533,2,False,,63,0,0.0
307127,2,False,,64,2,3.12
192641,2,False,,63,0,0.0
143224,2,False,,62,0,0.0
137431,2,False,,64,0,0.0
213522,2,False,,64,0,0.0
118528,2,False,,64,0,0.0
148436,2,False,,64,1,1.56
140117,2,False,,64,0,0.0
992673,2,False,,64,1,1.56
774663,2,False,,62,0,0.0
131722,2,False,,63,0,0.0
672756,2,False,,64,6,9.38
103414,2,False,,64,0,0.0
547046,2,False,,63,2,3.17
362034,2,False,,62,1,1.61
700634,2,False,,64,3,4.69
154734,2,False,,63,1,1.59
206727,2,False,,63,0,0.0
163129,2,False,,64,0,0.0
118023,2,False,,62,0,0.0
170934,2,False,,64,0,0.0
124422,2,False,,63,0,0.0
191235,2,False,,64,7,10.94
228434,2,False,,64,0,0.0
578158,2,True,Uniform responses (>80%),64,0,0.0
989987,2,False,,64,0,0.0
149337,2,False,,64,0,0.0
657659,2,False,,64,1,1.56
134425,2,False,,64,0,0.0
175338,2,False,,64,8,12.5
181232,2,False,,64,2,3.12
207123,2,False,,63,0,0.0
385046,2,False,,64,0,0.0
171431,2,False,,63,0,0.0
844961,2,False,,63,1,1.59
519647,2,False,,64,2,3.12
668361,2,False,,64,7,10.94
887373,2,False,,64,1,1.56
349244,2,False,,64,0,0.0
113619,2,False,,62,0,0.0
268749,2,False,,64,1,1.56
128026,2,False,,64,3,4.69
280941,2,False,,64,0,0.0
186444,2,False,,64,0,0.0
401422,2,False,,64,0,0.0
901139,2,False,,64,3,4.69
391748,2,False,,64,0,0.0
206828,2,False,,63,1,1.59
177342,2,False,,64,3,4.69
510225,2,False,,63,1,1.59
202820,2,False,,64,0,0.0
104820,2,False,,64,0,0.0
187345,2,False,,64,0,0.0
512835,2,False,,63,2,3.17
599671,2,True,Uniform responses (>80%),64,20,31.25
729254,2,False,,64,0,0.0
414229,2,False,,64,0,0.0
500222,2,False,,64,0,0.0
111009,2,False,,64,0,0.0
604537,2,False,,64,2,3.12
122317,2,False,,62,3,4.84
119126,2,False,,63,3,4.76
134324,2,True,Uniform responses (>80%),63,4,6.35
517239,2,False,,64,1,1.56
175439,2,False,,64,1,1.56
387959,2,False,,63,9,14.29
616645,2,True,Uniform responses (>80%),63,2,3.17
361941,2,False,,64,7,10.94
196346,2,False,,64,2,3.12
103515,2,False,,64,2,3.12
865363,2,False,,64,3,4.69
124826,2,False,,62,0,0.0
518746,2,False,,64,0,0.0
891667,2,False,,63,12,19.05
453542,2,False,,63,0,0.0
198653,2,False,,64,0,0.0
833249,2,False,,64,0,0.0
149236,2,False,,64,0,0.0
102311,2,False,,64,1,1.56
562446,2,False,,64,0,0.0
125222,2,False,,64,10,15.62
871762,2,False,,64,0,0.0
211114,2,False,,61,1,1.64
108020,2,False,,64,1,1.56
899885,2,False,,64,0,0.0
979984,2,False,,64,0,0.0
106319,2,False,,64,0,0.0
698168,2,False,,63,0,0.0
127832,2,False,,62,0,0.0
550439,2,False,,63,2,3.17
164131,2,False,,63,4,6.35
167440,2,False,,63,0,0.0
371843,2,False,,63,0,0.0
965367,2,False,,64,1,1.56
143325,2,False,,62,1,1.61
497865,2,False,,62,1,1.61
825553,2,False,,64,0,0.0
135225,2,False,,64,2,3.12
180432,2,False,,63,0,0.0
180937,2,True,Uniform responses (>80%),64,11,17.19
725751,2,False,,64,0,0.0
201818,2,False,,63,1,1.59
188751,2,False,,63,0,0.0
397154,2,False,,64,0,0.0
656253,2,False,,64,1,1.56
663755,2,False,,64,6,9.38
737960,2,False,,58,1,1.72
214019,2,False,,63,0,0.0
818859,2,False,,64,0,0.0
594156,2,False,,64,7,10.94
175136,2,False,,64,1,1.56
155635,2,False,,63,3,4.76
106016,2,False,,64,0,0.0
186545,2,False,,64,0,0.0
114823,2,False,,64,0,0.0
176542,2,False,,64,0,0.0
113316,2,False,,64,0,0.0
128127,2,False,,64,1,1.56
275645,2,False,,63,0,0.0
140319,2,False,,64,0,0.0
529549,2,False,,64,0,0.0
161832,2,False,,63,3,4.76
210011,2,False,,64,3,4.69
145632,2,False,,64,0,0.0
753150,2,False,,64,0,0.0
901038,2,False,,64,18,28.12
728454,2,False,,64,0,0.0
206929,2,False,,62,1,1.61
462139,1,True,Single run only,32,0,0.0
100610,2,True,Uniform responses (>80%),64,0,0.0
394956,2,False,,63,0,0.0
208024,2,False,,64,0,0.0
959574,2,False,,64,1,1.56
227533,2,False,,63,0,0.0
412528,2,False,,64,0,0.0
397760,2,False,,64,1,1.56
136126,2,False,,63,1,1.59
580044,2,False,,64,0,0.0
588565,2,False,,60,0,0.0
310621,2,False,,64,0,0.0
576255,2,False,,64,4,6.25
239944,2,False,,64,1,1.56
212217,2,False,,61,3,4.92
113922,2,False,,64,0,0.0
114217,2,False,,64,0,0.0
117021,2,False,,64,0,0.0
122822,2,False,,64,0,0.0
804646,2,False,,63,4,6.35
792766,2,False,,62,1,1.61
378756,2,False,,64,0,0.0
536647,2,False,,63,4,6.35
179245,2,False,,63,0,0.0
120010,2,False,,64,5,7.81
251833,2,False,,64,1,1.56
159946,2,False,,64,0,0.0
192439,2,False,,62,0,0.0
907656,2,False,,63,1,1.59
878877,2,False,,63,0,0.0
761957,2,False,,64,1,1.56
148941,2,False,,64,0,0.0
499566,2,True,Uniform responses (>80%),64,2,3.12
131419,2,False,,64,0,0.0
724446,2,False,,63,0,0.0
932554,2,False,,64,0,0.0
153631,2,False,,63,0,0.0
118831,2,True,Uniform responses (>80%),64,0,0.0
810843,2,False,,64,0,0.0
231928,2,False,,63,0,0.0
569965,2,False,,62,4,6.45
530635,2,False,,63,5,7.94
567759,2,False,,63,0,0.0
196750,2,False,,61,0,0.0
280739,2,False,,64,1,1.56
558960,2,False,,63,0,0.0
156536,2,True,Uniform responses (>80%),64,0,0.0
138332,2,False,,64,1,1.56
204420,2,False,,64,1,1.56
150625,2,False,,63,1,1.59
188347,2,False,,63,0,0.0
194140,2,False,,64,1,1.56
654754,2,False,,64,1,1.56
158843,2,False,,63,1,1.59
771354,2,False,,64,0,0.0
211720,2,False,,63,3,4.76
173132,2,False,,63,2,3.17
965771,2,False,,59,1,1.69
151021,2,False,,63,1,1.59
766563,2,False,,64,4,6.25
579867,2,False,,63,2,3.17
173839,2,False,,64,1,1.56
800941,2,False,,63,10,15.87
469961,2,False,,64,0,0.0
705341,2,False,,64,0,0.0
156233,2,False,,64,2,3.12
169343,2,False,,64,1,1.56
130518,2,False,,64,0,0.0
749058,2,False,,64,2,3.12
894673,2,False,,64,0,0.0
192136,2,False,,63,0,0.0
486759,2,False,,64,1,1.56
120111,2,False,,63,0,0.0
128935,2,False,,64,0,0.0
191942,2,False,,63,2,3.17
157437,2,False,,64,2,3.12
341834,2,False,,63,1,1.59
139233,2,False,,64,1,1.56
590047,2,False,,64,2,3.12
480141,2,False,,64,4,6.25
256540,2,False,,64,0,0.0
208125,2,False,,64,0,0.0
195041,2,False,,64,0,0.0
317332,2,False,,63,1,1.59
671855,2,False,,64,5,7.81
173637,2,False,,63,1,1.59
146331,2,False,,64,2,3.12
877269,2,False,,64,0,0.0
168947,2,False,,63,0,0.0
905147,2,False,,60,2,3.33
227432,2,False,,62,4,6.45
194645,2,False,,64,0,0.0
172938,2,False,,62,1,1.61
193239,2,False,,64,0,0.0
129331,2,False,,64,0,0.0
376247,2,False,,64,0,0.0
130013,2,False,,64,5,7.81
138837,2,False,,63,0,0.0
727553,2,False,,64,0,0.0
137027,2,False,,63,1,1.59
381038,2,False,,64,1,1.56
204521,2,False,,63,0,0.0
257845,2,False,,63,0,0.0
157336,2,False,,63,3,4.76
557857,2,False,,64,3,4.69
183034,2,False,,64,1,1.56
910443,2,False,,63,0,0.0
952863,2,False,,64,1,1.56
679770,2,False,,63,0,0.0
148840,2,False,,64,0,0.0
519950,2,False,,64,0,0.0
628248,2,False,,64,0,0.0
385450,2,False,,64,1,1.56
627852,2,False,,64,0,0.0
214423,2,False,,64,0,0.0
205220,2,False,,64,1,1.56
680957,2,False,,64,1,1.56
680452,2,False,,60,2,3.33
545345,2,False,,64,1,1.56
635245,2,False,,64,0,0.0
379657,2,False,,64,0,0.0
220721,2,False,,64,3,4.69
237334,2,False,,64,3,4.69
250932,2,False,,61,0,0.0
325129,2,True,Uniform responses (>80%),64,0,0.0
320826,2,False,,64,1,1.56
144428,2,False,,64,10,15.62
198047,2,False,,63,1,1.59
613538,2,False,,64,0,0.0
573451,2,False,,64,0,0.0
127226,2,False,,64,0,0.0
165941,2,False,,64,0,0.0
685058,2,False,,64,0,0.0
579665,2,False,,64,0,0.0
111413,2,False,,64,1,1.56
151728,2,False,,63,1,1.59
138130,2,False,,63,0,0.0
182436,2,False,,64,0,0.0
356948,2,False,,64,1,1.56
424939,2,False,,64,11,17.19
211922,2,False,,64,0,0.0
814649,2,False,,64,3,4.69
178849,2,False,,64,0,0.0
121719,2,False,,62,12,19.35
638049,2,False,,63,1,1.59
521331,2,False,,64,0,0.0
176037,2,False,,62,1,1.61
188145,2,False,,64,0,0.0
585862,2,False,,64,1,1.56
677968,2,False,,64,0,0.0
204622,2,False,,64,1,1.56
178142,2,False,,64,0,0.0
172534,2,False,,63,1,1.59
196952,2,False,,64,0,0.0
153833,2,False,,63,2,3.17
845458,2,False,,64,0,0.0
214625,2,False,,60,0,0.0
151223,2,False,,64,0,0.0
183337,2,False,,62,2,3.23
757764,2,False,,64,2,3.12
140925,2,False,,63,2,3.17
104012,2,False,,64,1,1.56
111312,2,False,,64,2,3.12
208226,2,False,,63,0,0.0
159744,2,False,,64,0,0.0
107321,2,False,,64,1,1.56
392447,2,False,,64,2,3.12
133928,2,False,,64,0,0.0
147636,2,False,,64,0,0.0
212015,2,True,Uniform responses (>80%),63,0,0.0
163836,2,False,,64,0,0.0
182739,2,True,Uniform responses (>80%),64,0,0.0
122620,2,False,,64,2,3.12
645551,2,False,,62,0,0.0
194443,2,False,,64,0,0.0
126628,2,True,Uniform responses (>80%),64,0,0.0
742549,2,False,,64,0,0.0
389357,2,False,,64,0,0.0
180129,2,True,Uniform responses (>80%),64,1,1.56
121416,2,False,,62,6,9.68
199352,2,False,,64,0,0.0
825048,2,False,,63,4,6.35
856463,2,False,,64,2,3.12
187850,2,False,,64,0,0.0
169040,2,False,,63,0,0.0
454140,2,False,,63,1,1.59
448347,2,False,,64,0,0.0
120212,2,False,,63,1,1.59
815247,2,False,,64,3,4.69
298455,2,False,,63,2,3.17
255639,2,False,,64,1,1.56
792564,2,False,,64,0,0.0
360030,2,False,,64,0,0.0
101410,2,False,,64,1,1.56
101915,2,False,,64,0,0.0
121618,2,False,,63,1,1.59
126426,2,False,,64,0,0.0
321323,2,False,,64,0,0.0
882161,2,False,,64,4,6.25
615744,2,False,,64,0,0.0
930449,2,False,,64,0,0.0
290136,2,False,,64,1,1.56
140824,2,False,,64,0,0.0
160729,2,False,,64,0,0.0
693461,2,False,,64,0,0.0
127327,2,False,,64,6,9.38
173334,2,False,,63,1,1.59
783462,2,False,,64,15,23.44
304727,2,False,,64,0,0.0
951457,2,False,,64,0,0.0
165840,2,False,,64,1,1.56
727654,2,False,,64,2,3.12
793465,2,False,,64,2,3.12
308129,2,False,,64,2,3.12
143830,2,False,,64,4,6.25
654552,2,False,,64,2,3.12
203418,2,False,,64,5,7.81
561242,2,False,,63,0,0.0
185341,2,False,,64,1,1.56
106824,2,False,,64,1,1.56
106521,2,False,,64,0,0.0
393247,2,False,,64,1,1.56
194847,2,False,,63,0,0.0
145127,2,False,,64,0,0.0
156031,2,False,,63,1,1.59
176239,2,False,,61,1,1.64
873968,2,False,,64,0,0.0
179548,2,False,,63,0,0.0
531536,2,True,Uniform responses (>80%),64,0,0.0
333330,2,False,,64,0,0.0
168745,2,False,,63,3,4.76
128632,2,False,,64,1,1.56
293748,2,False,,64,1,1.56
929464,2,False,,64,4,6.25
715041,2,False,,62,3,4.84
857263,2,False,,63,2,3.17
151526,2,False,,64,2,3.12
984472,2,False,,64,5,7.81
366042,2,False,,64,0,0.0
173435,2,False,,64,0,0.0
202113,2,False,,63,0,0.0
820745,2,False,,64,0,0.0
592455,2,False,,63,0,0.0
198249,2,False,,63,0,0.0
861456,2,False,,60,0,0.0
116423,2,True,Uniform responses (>80%),63,8,12.7
923755,2,False,,63,0,0.0
208327,2,False,,64,12,18.75
119732,2,False,,63,0,0.0
692964,2,False,,64,6,9.38
163432,2,False,,63,0,0.0
436845,2,False,,57,0,0.0
147737,2,False,,63,1,1.59
178647,2,False,,64,3,4.69
713239,2,False,,63,0,0.0
889579,2,False,,64,1,1.56
330324,2,True,Uniform responses (>80%),64,0,0.0
161327,2,False,,63,0,0.0
645450,2,False,,64,0,0.0
580347,2,True,Uniform responses (>80%),64,0,0.0
677766,2,False,,64,0,0.0
599065,2,False,,64,0,0.0
572045,2,False,,64,0,0.0
174437,2,False,,64,0,0.0
199453,2,False,,64,0,0.0
103111,2,False,,64,0,0.0
300719,2,False,,64,1,1.56
110007,2,False,,64,8,12.5
206222,2,False,,64,3,4.69
173940,2,False,,64,1,1.56
701535,2,False,,64,0,0.0
102715,2,False,,63,0,0.0
162228,2,False,,64,0,0.0
207426,2,False,,63,1,1.59
513130,2,False,,62,0,0.0
991267,2,False,,62,0,0.0
193845,2,False,,64,3,4.69
190031,2,False,,64,0,0.0
468050,2,False,,63,1,1.59
849264,2,False,,61,0,0.0
122418,2,False,,64,0,0.0
667056,2,False,,64,1,1.56
129028,2,False,,64,0,0.0
238033,2,False,,63,1,1.59
148133,2,False,,64,0,0.0
902242,2,False,,62,0,0.0
166640,2,False,,64,0,0.0
694362,2,False,,63,0,0.0
748662,2,False,,62,0,0.0
773257,2,False,,64,3,4.69
131823,2,False,,63,0,0.0
656657,2,False,,64,0,0.0
154835,2,False,,63,0,0.0
192540,2,False,,64,1,1.56
223929,2,False,,64,0,0.0
549757,2,False,,64,1,1.56
769064,2,False,,64,2,3.12
144832,2,False,,64,1,1.56
141119,2,False,,64,6,9.38
155231,2,False,,63,1,1.59
309636,2,False,,63,0,0.0
200917,2,False,,64,2,3.12
121921,2,False,,63,1,1.59
