,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,142828_fnca,1,1,Reward,2,5,3.0,0,1190,0,26,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
2,142828_fnca,2,1,Reward,3,5,2.0,0,205,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
3,142828_fnca,3,1,Punishment,4,5,2.0,0,875,0,13,2,0,2,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
4,142828_fnca,4,1,Reward,5,5,2.0,0,504,0,13,3,0,3,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
5,142828_fnca,5,1,Reward,6,5,3.0,0,164,1,13,1,1,0,1,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
6,142828_fnca,6,1,Reward,7,5,3.0,0,171,1,13,2,2,0,2,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
7,142828_fnca,7,1,Neutral,8,5,2.0,0,647,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
8,142828_fnca,8,1,Reward,9,5,3.0,0,541,0,14,1,1,0,0,,2.0,1.0,Neutral,MostlyReward,MostlyReward
9,142828_fnca,10,1,Reward,10,5,3.0,0,1198,0,13,2,2,0,0,2.0,,,,MostlyPunishment,MostlyPunishment
10,142828_fnca,11,1,Punishment,11,5,2.0,0,916,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyPunishment,MostlyPunishment
11,142828_fnca,12,1,Punishment,12,5,2.0,0,819,0,13,2,0,2,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,142828_fnca,13,1,Punishment,13,5,3.0,0,130,1,13,1,1,0,1,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
13,142828_fnca,14,1,Neutral,14,5,3.0,0,611,0,14,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
14,142828_fnca,15,1,Punishment,15,5,3.0,0,576,0,14,3,3,0,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
