,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,134829_fnca,1,1,Reward,2,5,2.0,0,637,0,53,1,0,1,0,3.0,,,,MostlyReward,MostlyReward
2,134829_fnca,2,1,Reward,3,5,3.0,0,330,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
3,134829_fnca,3,1,Punishment,4,5,2.0,0,807,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
4,134829_fnca,4,1,Reward,5,5,3.0,0,387,0,14,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
5,134829_fnca,5,1,Reward,6,5,3.0,0,415,0,13,2,2,0,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
6,134829_fnca,6,1,Reward,7,5,2.0,0,326,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7,134829_fnca,7,1,Neutral,8,5,3.0,0,712,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
8,134829_fnca,8,1,Reward,9,5,3.0,0,549,0,13,2,2,0,0,,3.0,0.0,Neutral,MostlyReward,MostlyReward
9,134829_fnca,10,1,Reward,10,5,3.0,0,704,0,14,3,3,0,0,2.0,,,,MostlyPunishment,MostlyPunishment
10,134829_fnca,11,1,Punishment,11,5,2.0,0,405,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyPunishment,MostlyPunishment
11,134829_fnca,12,1,Punishment,12,5,2.0,0,324,0,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,134829_fnca,13,1,Punishment,13,5,2.0,0,513,0,13,3,0,3,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
13,134829_fnca,14,1,Neutral,14,5,3.0,0,626,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
14,134829_fnca,15,1,Punishment,15,5,2.0,0,818,0,14,1,0,1,0,3.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
15,134829_fnca,16,1,Punishment,16,5,3.0,0,601,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
16,134829_fnca,17,1,Punishment,17,5,2.0,0,931,0,13,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
17,134829_fnca,19,1,Punishment,18,5,3.0,0,517,0,13,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
18,134829_fnca,20,1,Punishment,19,5,3.0,0,736,0,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
19,134829_fnca,21,1,Punishment,20,5,3.0,0,691,0,13,3,3,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
20,134829_fnca,22,1,Neutral,21,5,2.0,0,459,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
21,134829_fnca,23,1,Punishment,22,5,2.0,0,301,0,13,2,0,2,0,3.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
22,134829_fnca,24,1,Neutral,23,5,3.0,0,658,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
23,134829_fnca,25,1,Punishment,24,5,2.0,0,564,0,14,1,0,1,0,3.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
24,134829_fnca,26,1,Punishment,25,5,3.0,0,475,0,13,1,1,0,0,,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
25,134829_fnca,28,1,Reward,26,5,2.0,0,758,0,14,1,0,1,0,3.0,,,,MostlyReward,MostlyReward
26,134829_fnca,29,1,Reward,27,5,3.0,0,332,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
27,134829_fnca,30,1,Punishment,28,5,2.0,0,508,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
28,134829_fnca,31,1,Reward,29,5,2.0,0,487,0,13,2,0,2,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
29,134829_fnca,32,1,Punishment,30,5,3.0,0,357,0,14,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
30,134829_fnca,33,1,Reward,31,5,3.0,0,395,0,14,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
31,134829_fnca,34,1,Reward,32,5,2.0,0,275,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
32,134829_fnca,35,1,Reward,32,5,3.0,0,380,0,13,1,1,0,0,,2.0,1.0,Reward,MostlyReward,MostlyReward
33,134829_fnca,1,2,Punishment,2,5,3.0,0,418,0,27,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
34,134829_fnca,2,2,Punishment,3,5,3.0,0,567,0,14,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
35,134829_fnca,3,2,Reward,4,5,2.0,0,364,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
36,134829_fnca,4,2,Punishment,5,5,3.0,0,331,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
37,134829_fnca,5,2,Reward,6,5,2.0,0,286,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
38,134829_fnca,6,2,Punishment,7,5,2.0,0,402,0,14,2,0,2,0,3.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
39,134829_fnca,7,2,Punishment,8,5,3.0,0,463,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
40,134829_fnca,8,2,Punishment,9,5,2.0,0,887,0,13,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
41,134829_fnca,10,2,Reward,10,5,3.0,0,582,0,13,1,1,0,0,3.0,,,,MostlyReward,MostlyReward
42,134829_fnca,11,2,Neutral,11,5,3.0,0,733,0,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
43,134829_fnca,12,2,Reward,12,5,3.0,0,424,0,13,3,3,0,0,3.0,3.0,0.0,Neutral,MostlyReward,MostlyReward
44,134829_fnca,13,2,Reward,13,5,3.0,0,591,0,13,4,4,0,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
45,134829_fnca,14,2,Reward,14,5,2.0,0,538,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
46,134829_fnca,15,2,Reward,15,5,3.0,0,479,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
47,134829_fnca,16,2,Neutral,16,5,2.0,0,549,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
48,134829_fnca,17,2,Reward,17,5,3.0,0,327,0,13,1,1,0,0,,2.0,1.0,Neutral,MostlyReward,MostlyReward
49,134829_fnca,19,2,Punishment,18,5,3.0,0,651,0,13,2,2,0,0,2.0,,,,MostlyPunishment,MostlyPunishment
50,134829_fnca,20,2,Punishment,19,5,2.0,0,472,0,14,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
51,134829_fnca,21,2,Reward,20,5,2.0,0,671,0,14,2,0,2,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
52,134829_fnca,22,2,Punishment,21,5,3.0,0,366,0,14,1,1,0,0,3.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
53,134829_fnca,23,2,Reward,22,5,3.0,0,594,0,13,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
54,134829_fnca,24,2,Punishment,23,5,2.0,0,335,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyPunishment,MostlyPunishment
55,134829_fnca,25,2,Punishment,24,5,3.0,0,358,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
56,134829_fnca,26,2,Punishment,25,5,2.0,0,476,0,14,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
57,134829_fnca,28,2,Reward,26,5,3.0,0,533,0,14,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
58,134829_fnca,29,2,Reward,27,5,2.0,0,362,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
59,134829_fnca,30,2,Punishment,28,5,3.0,0,499,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
60,134829_fnca,31,2,Reward,29,5,3.0,0,647,0,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
61,134829_fnca,32,2,Punishment,30,5,3.0,0,513,0,13,3,3,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
62,134829_fnca,33,2,Reward,31,5,3.0,0,401,0,13,4,4,0,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
63,134829_fnca,34,2,Reward,32,5,2.0,0,363,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
64,134829_fnca,35,2,Reward,32,5,3.0,0,302,0,14,1,1,0,0,,2.0,1.0,Reward,MostlyReward,MostlyReward
