,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
0,571144_fnca,0.012399171719870974,0.13723426973566755,-38.506248199955586,0.010000001442264124,1.3452989245185452,-40.75989409553738,Procedural,2.2536458955817977
1,177241_fnca,0.6743372781103814,0.9172533726566191,-39.81611286337176,1.999999999934418,1.909453727131968,-37.57775915486028,Declarative,-2.2383537085114753
2,872764_fnca,0.01000031597776103,0.08731601989214376,-40.415112433493874,0.010000001159696759,1.3266391449853534,-43.058270773558895,Procedural,2.643158340065021
3,194140_fnca,0.9941240493487704,1.999999999891013,-42.72920388229348,0.17690600125660688,1.6150578340364459,-44.03058794062793,Procedural,1.301384058334449
4,885975_fnca,0.010000000087833819,0.025607840617458036,-36.933261769598275,0.15545571294137397,0.6045141239501117,-39.151238365455114,Procedural,2.2179765958568396
5,969476_fnca,0.028414993047683156,0.2509087805072307,-43.92333931801976,0.35627189758879063,1.999997006482178,-43.90355002700967,Declarative,-0.019789291010084753
6,137633_fnca,0.9258268788916391,0.5553430886357662,-31.89792618966684,0.010000000068141205,0.8145751702465667,-40.67729821272876,Procedural,8.779372023061917
7,208125_fnca,0.5307652675927027,1.050213036984386,-41.562928684055,0.4353473711648136,1.999999998915447,-41.906045416591304,Procedural,0.34311673253630204
8,196346_fnca,0.9838253870809941,0.6376109911187743,-35.391599789211746,0.7782092840149136,0.6677046461456566,-39.53487168330736,Procedural,4.143271894095612
9,468050_fnca,0.010046483116561061,1.9999999992506818,-43.69857063543643,0.5505264163305186,1.9999902205995062,-43.53568013844395,Declarative,-0.16289049699248181
10,176542_fnca,0.010041118309226629,1.999999999211891,-44.37182133796183,0.010040588544697077,1.9999999991649149,-44.452343039011005,Procedural,0.08052170104917167
11,151324_fnca,0.5889553645110933,0.681312897470443,-38.99525733126017,0.010000000055128208,0.40769908485497475,-38.80993265886562,Declarative,-0.1853246723945503
12,136833_fnca,0.8628131803684351,1.9999524366117234,-42.96483208299904,0.01002060100440961,1.9999999993509532,-43.632675919178624,Procedural,0.6678438361795855
13,210112_fnca,0.024136707687666906,0.1761940377204745,-43.31096631844596,0.01000028569009184,0.84352571211933,-43.82376046083754,Procedural,0.5127941423915772
14,151627_fnca,0.0831727806261556,1.0551647461973255,-43.575464938754706,0.010005999808920737,1.9999999990882347,-43.63725063817343,Procedural,0.061785699418720696
15,677968_fnca,0.010042421888941562,1.9999999994246074,-44.37630658838017,0.010055345281569317,1.9999999984579282,-44.57479124743975,Procedural,0.1984846590595808
16,136126_fnca,0.608291943697005,1.3013740014727215,-41.554477225510645,0.010000000704746353,0.6949621567608526,-42.9883925732128,Procedural,1.433915347702154
17,314225_fnca,0.5011496010903024,0.4028444887973761,-34.217693248540506,0.3802629064784174,1.040070447199347,-41.81882667639239,Procedural,7.6011334278518845
18,849971_fnca,0.01004398393603729,1.9999999998438374,-43.694619741621,0.010001852795768838,1.9999999982726553,-43.95796239582302,Procedural,0.2633426542020203
19,753251_fnca,0.010043965096362512,1.9999999990398256,-44.368527833997135,0.5721971820513636,1.9999999686533336,-44.03796976359095,Declarative,-0.3305580704061839
20,734045_fnca,0.01004043268924677,1.9999999990226969,-43.677168985040325,0.010002025383470066,1.9999999982640912,-44.413700056095834,Procedural,0.7365310710555093
21,233326_fnca,0.010054433279016574,1.9999999991551587,-44.451279162014224,0.010016676589474683,1.9999999992816402,-45.872878442457385,Procedural,1.4215992804431608
22,118023_fnca,1.76938095105094,1.9999999992001594,-37.08642460765732,1.2452537133380266,1.9999999998981608,-40.89826670189562,Procedural,3.811842094238301
23,165840_fnca,0.6950271683449767,1.9999999232199503,-44.14262404018983,0.010024736250586651,1.999999999709867,-44.51102785887493,Procedural,0.36840381868510264
24,123723_fnca,0.010000027419915503,0.08220105092942959,-42.45622510563943,0.010000002542060498,1.4739908994364026,-43.818139810563444,Procedural,1.3619147049240112
25,248238_fnca,0.010045563384270213,1.9999999995461983,-44.44078166835444,0.010016262644063552,1.999999999439908,-45.4013487554735,Procedural,0.9605670871190597
26,871762_fnca,0.010041673603263019,1.9999999992367685,-44.36771603840117,0.03011698783607976,1.9999999995759037,-44.530546026443524,Procedural,0.16282998804235405
27,792867_fnca,0.010039984914690658,1.9999999987863781,-44.36638847658928,0.010024143819967518,1.9999999995014017,-44.813067969036794,Procedural,0.44667949244751526
