subject_numeric,fa_AntFrontal,fa_ARC_L,fa_ARC_R,fa_ATR_L,fa_ATR_R,fa_CGC_L,fa_CGC_R,fa_CST_L,fa_CST_R,fa_IFO_L,fa_IFO_R,fa_ILF_L,fa_ILF_R,fa_Motor,fa_Occipital,fa_Orbital,fa_PostParietal,fa_SLF_L,fa_SLF_R,fa_SupFrontal,fa_SupParietal,fa_Temporal,fa_UNC_L,fa_UNC_R,Unnamed: 0,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
100206,0.5703087698963247,0.5197450316830889,0.45444791965557335,0.44680048273097567,0.43711691968622196,0.4986879396881986,0.4902650979912026,0.5567169379603297,0.5543223658377271,0.5607861997727911,0.5390144056543498,0.5147949604335623,0.5153711912372014,0.5736726207363683,0.6545989911984473,0.5606831527834141,0.5807651095583178,0.5259120441343021,0.527374031446214,0.5753437107645152,0.591183316960474,0.5904784532637539,0.46372771436955307,0.4728891426325969,669,100206_fnca,0.4941823668840312,1.8189573688662335,-42.96017358024539,0.1944269453324215,1.5558996408194576,-42.841615882575645,Declarative,-0.1185576976697433
100307,0.5543676427843081,0.5342780087301628,0.4366138637711877,0.4461747974256282,0.4571758237383424,0.5436884333853932,0.5229091593390891,0.5575139384784812,0.537374018926458,0.5458612183279197,0.5432251667540409,0.5085893760663257,0.5124520206499649,0.5683503117157476,0.6666705089935018,0.5148295352250245,0.5759218329949852,0.5002805006933925,0.49436603665044354,0.5713360094209642,0.5496891647699589,0.570042043781175,0.4326459671560172,0.442562010715417,51,100307_fnca,0.0100452551165653,1.9999999989766064,-44.38667480705401,0.0100080955951227,1.9999999988281376,-44.9443104213077,Procedural,0.5576356142536909
100408,0.5308662029974718,0.5303530090348231,0.4733662684092865,0.49418938849335425,0.4394930770148925,0.5433642159585443,0.4686831766419931,0.5237392348057331,0.5550396181812582,0.5604750710638686,0.518871477368588,0.537196069415948,0.4940550950337149,0.5438644271034199,0.6647461603094311,0.5406050269602601,0.5894672604972697,0.47524011166088725,0.5110196249331603,0.5407415763552755,0.5749083876123793,0.5813414102132548,0.44229954872611876,0.44872549456999344,175,100408_fnca,0.0100471646082389,1.999999998396306,-43.00135645501028,0.5271411460145786,1.9999999999999591,-43.61882911667957,Procedural,0.6174726616692823
101006,0.5055755301996976,0.4865924648751433,0.43469791938146474,0.4822485148477246,0.419988101719037,0.5259937643301094,0.4775044754775053,0.5615667036890188,0.5294868726773607,0.5519587752051683,0.49708938356912186,0.4883916574036482,0.482158638090052,0.5471860987377094,0.6218743842554084,0.46336526284475377,0.5676640389911857,0.4447594367857477,0.4533302003489169,0.5308451534901811,0.5574188821109197,0.540586737225635,0.4090498046169116,0.4075249660921522,679,101006_fnca,0.9888477660291376,1.448367736089224,-41.239867018138426,0.0100229980219073,1.9999999995903568,-44.47360906674928,Procedural,3.23374204861085
101107,0.5479456078961398,0.5451006476360436,0.42958937477241294,0.45352942899000986,0.4366597405585892,0.5520532638785787,0.47389277857814144,0.5665334372040963,0.5414726823866887,0.5337189457679912,0.4948345686190157,0.506662135497229,0.46576840928594193,0.5671972590488061,0.6538446313454582,0.47687499931161964,0.60489989132137,0.49574647929443677,0.48165385786504766,0.5531974292758941,0.5765420921740007,0.5788100687350649,0.4231446324627924,0.46136864325744087,37,101107_fnca,0.453480500747437,1.999999999999897,-44.241903481753354,0.1553990892772135,1.9999999992125612,-44.41254764606647,Procedural,0.1706441643131171
101309,0.5754902851969405,0.5318226086105138,0.48472701513077965,0.4509880855757713,0.4676989548061926,0.5759896242431549,0.5176619901041987,0.5677528883619096,0.5753017197578618,0.5125743011330935,0.5326071482699326,0.4478881253068743,0.49727261509705073,0.5909916948242097,0.646990150277108,0.519460582241081,0.5686740781054228,0.5125231164668799,0.4872378803217664,0.585561027307897,0.5651006252327787,0.5776612782694683,0.4273836658397925,0.44850496403378876,863,101309_fnca,0.0100001232285951,0.5323898248299209,-44.24762863594908,0.0100457712871302,1.9999999983433976,-45.26706523571001,Procedural,1.0194365997609296
101410,0.520771459673071,0.5087398670828366,0.45456489764256114,0.4570015698403752,0.4207016500607482,0.510171115059896,0.45602424838745503,0.5431554377071398,0.5339453526306909,0.5409010284745134,0.5093537891819164,0.490715231640273,0.47691688896578116,0.5289493084002852,0.6606501654596909,0.5098364467971701,0.5477895301137612,0.46521895159076726,0.4832854588276219,0.5221906533767658,0.5521148291823814,0.5560446230801567,0.41362618985659233,0.42611999717162746,760,101410_fnca,0.0100335891646727,1.9999999988490071,-44.376239009214274,0.6751376221515965,1.999999999634963,-43.40292951084864,Declarative,-0.97330949836563
101915,0.5386716478057361,0.5328541470687982,0.4809864431046129,0.47714281015820814,0.4351442073099178,0.5055321645932692,0.46873261272493694,0.567250043122251,0.5734569447745791,0.5457263567362998,0.5257641641394101,0.5305741204353382,0.5171318624744988,0.581861928633126,0.6710381844165986,0.5220938088461008,0.5858297315169839,0.48860764071280094,0.509887291050045,0.5504000171700147,0.582981355945824,0.5703985809856679,0.41314256456884885,0.4399761781243627,957,101915_fnca,0.0100000020551321,0.1792166706612862,-44.29367322980736,0.0100285964985277,1.9999999998927245,-44.48534806479489,Procedural,0.1916748349875305
102008,0.5752801415779039,0.5571454559253426,0.48859714541958477,0.45998794710279545,0.4459270343760918,0.5666148416900584,0.4810733870423409,0.5562539128912904,0.5389902557058002,0.5469571144774781,0.5430657710831105,0.5246835453840305,0.5158917163769418,0.5625434468417412,0.6521726395824211,0.5557371678998324,0.5635848193471152,0.5133179010522664,0.48723218016806996,0.569439613023731,0.5743989272937001,0.5666129100124089,0.45312908665075724,0.46911038268352606,139,102008_fnca,0.7442839970211881,1.999944877033507,-43.40985111848224,0.9846310662382312,1.9999999999999267,-43.90896556222302,Procedural,0.4991144437407726
102109,0.5739477821839293,0.5546739956714336,0.48953410142862663,0.4530276560308835,0.46593963269848465,0.5790112110224633,0.5170655520947206,0.5356180776286674,0.5413623009896452,0.5147823828424939,0.5555854307908675,0.48386207208231413,0.5075732120601795,0.5724357406978012,0.6394796455713714,0.5624076592825452,0.5766142344721683,0.5349398076035738,0.4793304321098394,0.574611540472649,0.5732269536224537,0.5538897918091733,0.4418086406615456,0.4443567483466772,507,102109_fnca,0.493271275708868,1.9477785533606429,-43.01439233311373,0.1141219003940775,1.994555935341172,-43.47022518113607,Procedural,0.4558328480223395
