Model,Mean_AUC,Std_AUC,Mean_Accuracy,Std_Accuracy
Logistic Regression,0.476972723617665,0.028557784989668118,0.7873668341708543,0.001932512008125394
L1 Regularized (C=1.0),0.47758991613235435,0.025555816000446856,0.7873668341708543,0.001932512008125394
L1 Regularized (C=0.1),0.47191879862595315,0.019060635472380724,0.7873668341708543,0.001932512008125394
L2 Regularized (C=1.0),0.47764140762215124,0.028010951903623755,0.7873668341708543,0.001932512008125394
L2 Regularized (C=0.1),0.48088960365660116,0.027937191918196727,0.7873668341708543,0.001932512008125394
