Tract,Coefficient,Abs_Coefficient
fa_UNC_L,0.042349552753590466,0.042349552753590466
fa_Motor,-0.04090997549183708,0.04090997549183708
fa_ARC_L,-0.030063835924900088,0.030063835924900088
fa_CST_R,0.009997137615462838,0.009997137615462838
fa_CGC_R,-0.0015876347067221423,0.0015876347067221423
