Model,Mean_AUC,Std_AUC,Mean_Accuracy,Std_Accuracy
Logistic (Balanced),0.46658418643182076,0.02486143378166581,0.6146341463414634,0.02844366777973317
"L1 LASSO (C=1.0, Balanced)",0.4676406558924602,0.02488595252115632,0.6211382113821139,0.033560597464309436
"L1 LASSO (C=0.1, Balanced)",0.4630041027394676,0.026102960768111867,0.6796747967479675,0.016740862017865052
L2 Ridge (Balanced),0.4655544477918174,0.023532797874652883,0.6146341463414634,0.03110752271497397
SVM (Balanced),0.5493135477096984,0.025478069198330584,0.6959349593495936,0.018962445186488756
