,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,145127_fnca,1,1,Reward,2,5,2.0,0,834,0,54,1,0,1,0,3.0,,,,MostlyReward,MostlyReward
2,145127_fnca,2,1,Reward,3,5,3.0,0,1274,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
3,145127_fnca,3,1,Punishment,4,5,3.0,0,470,0,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
4,145127_fnca,4,1,Reward,5,5,3.0,0,365,0,14,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
5,145127_fnca,5,1,Reward,6,5,3.0,0,649,0,13,4,4,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
6,145127_fnca,6,1,Reward,7,5,3.0,0,885,0,13,5,5,0,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
7,145127_fnca,7,1,Neutral,8,5,2.0,0,403,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
8,145127_fnca,8,1,Reward,9,5,2.0,0,612,0,13,2,0,2,0,,2.0,0.0,Neutral,MostlyReward,MostlyReward
9,145127_fnca,10,1,Reward,10,5,3.0,0,811,0,13,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
10,145127_fnca,11,1,Punishment,11,5,3.0,0,268,0,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
11,145127_fnca,12,1,Punishment,12,5,3.0,0,396,0,14,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,145127_fnca,13,1,Punishment,13,5,3.0,0,340,0,13,4,4,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
13,145127_fnca,14,1,Neutral,14,5,3.0,0,374,0,13,5,5,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
14,145127_fnca,15,1,Punishment,15,5,2.0,0,494,0,13,1,0,1,0,3.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
15,145127_fnca,16,1,Punishment,16,5,3.0,0,459,0,14,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
16,145127_fnca,17,1,Punishment,17,5,2.0,0,320,0,13,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
17,145127_fnca,19,1,Punishment,18,5,2.0,0,699,0,13,2,0,2,0,2.0,,,,MostlyPunishment,MostlyPunishment
18,145127_fnca,20,1,Punishment,19,5,2.0,0,298,0,13,3,0,3,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
19,145127_fnca,21,1,Punishment,20,5,2.0,0,382,0,13,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
20,145127_fnca,22,1,Neutral,21,5,2.0,0,327,0,13,5,0,5,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
21,145127_fnca,23,1,Punishment,22,5,2.0,0,371,0,14,6,0,6,0,3.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
22,145127_fnca,24,1,Neutral,23,5,3.0,0,432,0,14,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
23,145127_fnca,25,1,Punishment,24,5,3.0,0,224,0,14,2,2,0,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
24,145127_fnca,26,1,Punishment,25,5,2.0,0,369,0,13,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
25,145127_fnca,28,1,Reward,26,5,2.0,0,711,0,13,2,0,2,0,3.0,,,,MostlyReward,MostlyReward
