,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,720337_fnca,1,1,Reward,2,5,3.0,0,593,0,27,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
2,720337_fnca,2,1,Reward,3,5,2.0,0,749,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
3,720337_fnca,3,1,Punishment,4,5,3.0,0,501,0,14,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
4,720337_fnca,4,1,Reward,5,5,3.0,0,650,0,14,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
5,720337_fnca,5,1,Reward,6,5,2.0,0,499,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
6,720337_fnca,6,1,Reward,7,5,3.0,0,466,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7,720337_fnca,7,1,Neutral,8,5,3.0,0,310,0,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
8,720337_fnca,8,1,Reward,9,5,3.0,0,355,0,13,3,3,0,0,,3.0,0.0,Neutral,MostlyReward,MostlyReward
9,720337_fnca,10,1,Reward,10,5,2.0,0,820,0,13,1,0,1,0,3.0,,,,MostlyPunishment,MostlyPunishment
10,720337_fnca,11,1,Punishment,11,5,3.0,0,351,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
11,720337_fnca,12,1,Punishment,12,5,3.0,0,354,0,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,720337_fnca,13,1,Punishment,13,5,3.0,0,262,0,14,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
13,720337_fnca,14,1,Neutral,14,5,3.0,0,263,0,13,4,4,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
14,720337_fnca,15,1,Punishment,15,5,3.0,0,549,0,13,5,5,0,0,3.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
15,720337_fnca,16,1,Punishment,16,5,3.0,0,327,0,13,6,6,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
16,720337_fnca,17,1,Punishment,17,5,2.0,0,312,0,13,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
17,720337_fnca,19,1,Punishment,18,5,2.0,0,536,0,14,2,0,2,0,2.0,,,,MostlyPunishment,MostlyPunishment
18,720337_fnca,20,1,Punishment,19,5,2.0,0,737,0,14,3,0,3,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
19,720337_fnca,21,1,Punishment,20,5,3.0,0,887,0,14,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
20,720337_fnca,22,1,Neutral,21,5,3.0,0,471,0,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
21,720337_fnca,23,1,Punishment,22,5,3.0,0,411,0,13,3,3,0,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
22,720337_fnca,24,1,Neutral,23,5,2.0,0,416,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
23,720337_fnca,25,1,Punishment,24,5,2.0,0,273,0,13,2,0,2,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
24,720337_fnca,26,1,Punishment,25,5,2.0,0,259,0,13,3,0,3,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
25,720337_fnca,28,1,Reward,26,5,3.0,0,559,0,13,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
26,720337_fnca,29,1,Reward,27,5,2.0,0,254,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
27,720337_fnca,30,1,Punishment,28,5,3.0,0,512,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
28,720337_fnca,31,1,Reward,29,5,2.0,0,250,0,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
29,720337_fnca,32,1,Punishment,30,5,3.0,0,309,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
30,720337_fnca,33,1,Reward,31,5,2.0,0,192,1,13,1,0,1,1,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
31,720337_fnca,34,1,Reward,32,5,3.0,0,284,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
32,720337_fnca,35,1,Reward,32,5,2.0,0,234,0,13,1,0,1,0,,3.0,1.0,Reward,MostlyReward,MostlyReward
33,720337_fnca,1,2,Punishment,2,5,3.0,0,249,0,26,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
34,720337_fnca,2,2,Punishment,3,5,3.0,0,221,0,14,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
35,720337_fnca,3,2,Reward,4,5,3.0,0,191,1,13,3,3,0,1,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
36,720337_fnca,4,2,Punishment,5,5,3.0,0,194,1,13,4,4,0,2,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
37,720337_fnca,5,2,Reward,6,5,3.0,0,276,0,14,5,5,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
38,720337_fnca,6,2,Punishment,7,5,3.0,0,514,0,14,6,6,0,0,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
39,720337_fnca,7,2,Punishment,8,5,3.0,0,238,0,14,7,7,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
40,720337_fnca,8,2,Punishment,9,5,3.0,0,191,1,13,8,8,0,1,,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
41,720337_fnca,10,2,Reward,10,5,3.0,0,809,0,13,9,9,0,0,3.0,,,,MostlyReward,MostlyReward
42,720337_fnca,11,2,Neutral,11,5,3.0,0,236,0,14,10,10,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
43,720337_fnca,12,2,Reward,12,5,3.0,0,257,0,13,11,11,0,0,3.0,3.0,0.0,Neutral,MostlyReward,MostlyReward
44,720337_fnca,13,2,Reward,13,5,3.0,0,235,0,13,12,12,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
45,720337_fnca,14,2,Reward,14,5,3.0,0,189,1,13,13,13,0,1,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
46,720337_fnca,15,2,Reward,15,5,3.0,0,253,0,14,14,14,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
47,720337_fnca,16,2,Neutral,16,5,3.0,0,290,0,14,15,15,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
48,720337_fnca,17,2,Reward,17,5,3.0,0,768,0,13,16,16,0,0,,3.0,0.0,Neutral,MostlyReward,MostlyReward
49,720337_fnca,19,2,Punishment,18,5,3.0,0,403,0,14,17,17,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
50,720337_fnca,20,2,Punishment,19,5,3.0,0,247,0,13,18,18,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
51,720337_fnca,21,2,Reward,20,5,3.0,0,747,0,13,19,19,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
52,720337_fnca,22,2,Punishment,21,5,3.0,0,262,0,13,20,20,0,0,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
53,720337_fnca,23,2,Reward,22,5,3.0,0,287,0,13,21,21,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
54,720337_fnca,24,2,Punishment,23,5,3.0,0,262,0,13,22,22,0,0,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
55,720337_fnca,25,2,Punishment,24,5,3.0,0,244,0,14,23,23,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
56,720337_fnca,26,2,Punishment,25,5,3.0,0,280,0,14,24,24,0,0,,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
57,720337_fnca,28,2,Reward,26,5,3.0,0,636,0,13,25,25,0,0,3.0,,,,MostlyReward,MostlyReward
