,orig.model,orig.alpha,orig.proc.temp,orig.decay,orig.decl.temp,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
0,Procedural,1.5662616788316035,1.5480326240721463,,,571144_fnca,1.4121782326976378,1.1511176301384687,-34.80592040474659,1.9999337673149709,3.689923526489581,-42.00744003915653,Procedural,7.201519634409941
1,Procedural,0.8150150639245054,0.7660642290775914,,,571144_fnca,1.0175979959303414,0.6129403764603077,-31.36453183007684,1.9999999995110225,2.1500185946943042,-34.00829912782345,Procedural,2.64376729774661
2,Procedural,1.4468932234075103,1.1675339237574867,,,571144_fnca,1.6341254401848648,1.1616163783419786,-30.795931799415108,0.2717905364894476,0.5072831081481668,-38.66483583949295,Procedural,7.868904040077844
3,Procedural,0.900527370493076,1.6412724544644801,,,571144_fnca,0.613777476263458,0.9248033661896505,-41.272785145094,1.0456770265616295,3.0471575228307137,-42.72226613456168,Procedural,1.4494809894676806
4,Procedural,1.003139612103768,1.6406317272805604,,,571144_fnca,0.6327816551896808,1.3438158671286964,-42.59244472024815,1.9999994525861362,7.182869033758817,-43.61680741450222,Procedural,1.0243626942540658
5,Procedural,0.41741765728146596,0.8537262275377429,,,571144_fnca,1.1275123487166796,4.005843801637876,-43.879189110773936,1.6218938931758842,9.999999992132775,-43.91113183918557,Procedural,0.03194272841163581
6,Procedural,1.2359026892290719,1.9154835739712666,,,571144_fnca,1.8199054540970736,4.981139110837534,-42.76597452495296,0.18354615925824014,5.933084667727709,-44.29618332488735,Procedural,1.5302087999343925
7,Procedural,0.4714361371168512,0.6869492013301217,,,571144_fnca,0.6150605245407306,0.759439859772529,-39.468298870107574,0.9558067055313582,2.233426876198679,-38.40753254860979,Declarative,-1.0607663214977876
8,Procedural,1.4854787224631274,1.0782332638135874,,,571144_fnca,1.5019191623782961,1.0914843170678559,-32.41461667894077,1.9999253779576656,3.306533144055071,-38.70731288389285,Procedural,6.29269620495208
9,Procedural,1.4041709365656883,1.7613026946709953,,,571144_fnca,0.9944593045600356,1.0223458526450584,-38.511432839622024,1.999918695865473,3.3401291113685425,-39.730187829647306,Procedural,1.2187549900252819
10,Procedural,1.7639126126956743,0.22158083992766464,,,571144_fnca,1.8554822514336977,0.20908060757835867,-6.895718568956411,1.0616731244949436,9.999677443552933,-43.85866128834962,Procedural,36.96294271939321
11,Procedural,1.8657475315779621,1.4900260784634873,,,571144_fnca,1.898965355445688,1.8446870727039921,-28.505388319521796,0.7841325134515916,1.1397603163748296,-42.25507229610823,Procedural,13.749683976586436
