,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,365343_fnca,1,1,Reward,2,5,3.0,0,551,0,27,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
2,365343_fnca,2,1,Reward,3,5,2.0,0,752,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
3,365343_fnca,3,1,Punishment,4,5,2.0,0,563,0,14,2,0,2,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
4,365343_fnca,4,1,Reward,5,5,3.0,0,676,0,13,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
5,365343_fnca,5,1,Reward,6,5,3.0,0,607,0,13,2,2,0,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
6,365343_fnca,6,1,Reward,7,5,2.0,0,702,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7,365343_fnca,7,1,Neutral,8,5,3.0,0,658,0,14,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
8,365343_fnca,8,1,Reward,9,5,3.0,0,549,0,14,2,2,0,0,,3.0,0.0,Neutral,MostlyReward,MostlyReward
9,365343_fnca,10,1,Reward,10,5,2.0,0,1121,0,14,1,0,1,0,2.0,,,,MostlyPunishment,MostlyPunishment
10,365343_fnca,11,1,Punishment,11,5,2.0,0,496,0,13,2,0,2,0,3.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
11,365343_fnca,12,1,Punishment,12,5,3.0,0,501,0,13,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
12,365343_fnca,13,1,Punishment,13,5,3.0,0,904,0,14,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
13,365343_fnca,14,1,Neutral,14,5,3.0,0,542,0,14,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
14,365343_fnca,15,1,Punishment,15,5,3.0,0,795,0,13,4,4,0,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
15,365343_fnca,16,1,Punishment,16,5,2.0,0,574,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
16,365343_fnca,17,1,Punishment,17,5,2.0,0,584,0,13,2,0,2,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
17,365343_fnca,19,1,Punishment,18,5,3.0,0,642,0,13,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
18,365343_fnca,20,1,Punishment,19,5,3.0,0,823,0,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
19,365343_fnca,21,1,Punishment,20,5,3.0,0,551,0,13,3,3,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
20,365343_fnca,22,1,Neutral,21,5,2.0,0,565,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
21,365343_fnca,23,1,Punishment,22,5,3.0,0,541,0,13,1,1,0,0,2.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
22,365343_fnca,24,1,Neutral,23,5,2.0,0,505,0,14,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
23,365343_fnca,25,1,Punishment,24,5,2.0,0,558,0,13,2,0,2,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
24,365343_fnca,26,1,Punishment,25,5,2.0,0,654,0,13,3,0,3,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
25,365343_fnca,28,1,Reward,26,5,3.0,0,630,0,13,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
26,365343_fnca,29,1,Reward,27,5,2.0,0,614,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
27,365343_fnca,30,1,Punishment,28,5,3.0,0,746,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
28,365343_fnca,31,1,Reward,29,5,2.0,0,386,0,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
29,365343_fnca,32,1,Punishment,30,5,3.0,0,728,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
30,365343_fnca,33,1,Reward,31,5,2.0,0,486,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
31,365343_fnca,34,1,Reward,32,5,3.0,0,583,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
32,365343_fnca,35,1,Reward,32,5,2.0,0,573,0,13,1,0,1,0,,3.0,1.0,Reward,MostlyReward,MostlyReward
33,365343_fnca,1,2,Punishment,2,5,2.0,0,592,0,27,1,0,1,0,3.0,,,,MostlyPunishment,MostlyPunishment
34,365343_fnca,2,2,Punishment,3,5,3.0,0,388,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
35,365343_fnca,3,2,Reward,4,5,2.0,0,732,0,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
36,365343_fnca,4,2,Punishment,5,5,3.0,0,518,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
