,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,894774_fnca,1,1,Reward,2,5,2.0,0,551,0,54,1,0,1,0,3.0,,,,MostlyReward,MostlyReward
2,894774_fnca,2,1,Reward,3,5,3.0,0,322,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
3,894774_fnca,3,1,Punishment,4,5,2.0,0,249,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
4,894774_fnca,4,1,Reward,5,5,3.0,0,230,0,14,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
5,894774_fnca,5,1,Reward,6,5,2.0,0,211,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
6,894774_fnca,6,1,Reward,7,5,3.0,0,212,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7,894774_fnca,7,1,Neutral,8,5,2.0,0,240,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
8,894774_fnca,8,1,Reward,9,5,3.0,0,223,0,13,1,1,0,0,,2.0,1.0,Neutral,MostlyReward,MostlyReward
9,894774_fnca,10,1,Reward,10,5,2.0,0,753,0,13,1,0,1,0,3.0,,,,MostlyPunishment,MostlyPunishment
10,894774_fnca,11,1,Punishment,11,5,3.0,0,238,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
11,894774_fnca,12,1,Punishment,12,5,2.0,0,251,0,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
12,894774_fnca,13,1,Punishment,13,5,3.0,0,291,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
13,894774_fnca,14,1,Neutral,14,5,2.0,0,453,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
14,894774_fnca,15,1,Punishment,15,5,3.0,0,226,0,13,1,1,0,0,2.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
15,894774_fnca,16,1,Punishment,16,5,2.0,0,238,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
16,894774_fnca,17,1,Punishment,17,5,3.0,0,245,0,14,1,1,0,0,,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
17,894774_fnca,19,1,Punishment,18,5,2.0,0,483,0,14,1,0,1,0,2.0,,,,MostlyPunishment,MostlyPunishment
18,894774_fnca,20,1,Punishment,19,5,2.0,0,288,0,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
19,894774_fnca,21,1,Punishment,20,5,2.0,0,245,0,13,3,0,3,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
20,894774_fnca,22,1,Neutral,21,5,2.0,0,274,0,13,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
21,894774_fnca,23,1,Punishment,22,5,2.0,0,229,0,14,5,0,5,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
22,894774_fnca,24,1,Neutral,23,5,2.0,0,236,0,14,6,0,6,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
23,894774_fnca,25,1,Punishment,24,5,2.0,0,229,0,13,7,0,7,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
24,894774_fnca,26,1,Punishment,25,5,2.0,0,259,0,13,8,0,8,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
25,894774_fnca,28,1,Reward,26,5,3.0,0,380,0,13,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
26,894774_fnca,29,1,Reward,27,5,2.0,0,249,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
27,894774_fnca,30,1,Punishment,28,5,3.0,0,260,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
28,894774_fnca,31,1,Reward,29,5,3.0,0,188,1,13,2,2,0,1,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
29,894774_fnca,32,1,Punishment,30,5,2.0,0,227,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
30,894774_fnca,33,1,Reward,31,5,2.0,0,214,0,13,2,0,2,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
31,894774_fnca,34,1,Reward,32,5,3.0,0,220,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
32,894774_fnca,35,1,Reward,32,5,2.0,0,236,0,13,1,0,1,0,,3.0,1.0,Reward,MostlyReward,MostlyReward
33,894774_fnca,1,2,Punishment,2,5,2.0,0,287,0,26,1,0,1,0,2.0,,,,MostlyPunishment,MostlyPunishment
34,894774_fnca,2,2,Punishment,3,5,2.0,0,238,0,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
35,894774_fnca,3,2,Reward,4,5,2.0,0,258,0,13,3,0,3,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
36,894774_fnca,4,2,Punishment,5,5,3.0,0,248,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
37,894774_fnca,5,2,Reward,6,5,3.0,0,234,0,13,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
38,894774_fnca,6,2,Punishment,7,5,2.0,0,254,0,13,1,0,1,0,2.0,3.0,1.0,Reward,MostlyPunishment,MostlyPunishment
39,894774_fnca,7,2,Punishment,8,5,2.0,0,247,0,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
40,894774_fnca,8,2,Punishment,9,5,2.0,0,259,0,13,3,0,3,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
41,894774_fnca,10,2,Reward,10,5,3.0,0,637,0,14,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
42,894774_fnca,11,2,Neutral,11,5,2.0,0,166,1,14,1,0,1,1,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
43,894774_fnca,12,2,Reward,12,5,3.0,0,238,0,13,1,1,0,0,2.0,2.0,1.0,Neutral,MostlyReward,MostlyReward
44,894774_fnca,13,2,Reward,13,5,2.0,0,258,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
45,894774_fnca,14,2,Reward,14,5,3.0,0,209,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
46,894774_fnca,15,2,Reward,15,5,2.0,0,196,1,14,1,0,1,1,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
47,894774_fnca,16,2,Neutral,16,5,3.0,0,254,0,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
48,894774_fnca,17,2,Reward,17,5,2.0,0,245,0,13,1,0,1,0,,3.0,1.0,Neutral,MostlyReward,MostlyReward
49,894774_fnca,19,2,Punishment,18,5,2.0,0,263,0,13,2,0,2,0,3.0,,,,MostlyPunishment,MostlyPunishment
